season_day,date,fires_indexed,pm25_indexed
1,2023-10-01,0.0237,0.3009
2,2023-10-02,0.0409,0.2030
3,2023-10-03,0.0305,0.0510
4,2023-10-04,0.0397,0.1909
5,2023-10-05,0.0431,0.1204
6,2023-10-06,0.0234,0.0137
7,2023-10-07,0.0105,0.0137
8,2023-10-08,0.0197,0.0000
9,2023-10-09,0.0175,0.0078
10,2023-10-10,0.0052,0.0892
11,2023-10-11,0.0117,0.4610
12,2023-10-12,0.0169,0.2466
13,2023-10-13,0.0332,0.1687
14,2023-10-14,0.0326,0.1843
15,2023-10-15,0.0219,0.2688
16,2023-10-16,0.0000,0.3249
17,2023-10-17,0.0012,0.2576
18,2023-10-18,0.0058,0.3405
19,2023-10-19,0.0114,0.4238
20,2023-10-20,0.0416,0.4289
21,2023-10-21,0.0505,0.4594
22,2023-10-22,0.0083,0.2316
23,2023-10-23,0.0508,0.2602
24,2023-10-24,0.1083,0.1507
25,2023-10-25,0.1074,0.2129
26,2023-10-26,0.2151,0.4696
27,2023-10-27,0.1570,0.5240
28,2023-10-28,0.0471,0.9175
29,2023-10-29,0.2659,0.6370
30,2023-10-30,0.3059,0.3977
31,2023-10-31,0.4515,0.6049
32,2023-11-01,0.4451,0.2504
33,2023-11-02,0.0003,0.3323
34,2023-11-03,0.3059,0.3888
35,2023-11-04,0.4334,0.6231
36,2023-11-05,1.0000,0.3397
37,2023-11-06,0.5802,0.4516
38,2023-11-07,0.4885,0.5778
39,2023-11-08,0.3937,0.8645
40,2023-11-09,0.2204,1.0000
41,2023-11-10,0.0018,0.4426
42,2023-11-11,0.0342,0.1074
43,2023-11-12,0.2847,0.1309
44,2023-11-13,0.3810,0.3204
45,2023-11-14,0.5709,0.3340
46,2023-11-15,0.5679,0.6044
47,2023-11-16,0.4321,0.1101
48,2023-11-17,0.2967,0.0940
49,2023-11-18,0.1339,0.2907
50,2023-11-19,0.2173,0.3165
51,2023-11-20,0.1382,0.1810
52,2023-11-21,0.1693,0.1339
53,2023-11-22,0.1077,0.1342
54,2023-11-23,0.0603,0.0846
55,2023-11-24,0.0425,0.2646
56,2023-11-25,0.0114,0.4513
57,2023-11-26,0.0206,0.2569
58,2023-11-27,0.0006,0.4136
59,2023-11-28,0.0065,0.6602
60,2023-11-29,0.0037,0.4564
61,2023-11-30,0.0046,0.4541
